iter	RMSE
0	4.244797542
1	4.165624077
2	4.087618378
3	4.00887251
4	3.937736204
5	3.868987288
6	3.801824813
7	3.734790679
8	3.674849517
9	3.613116603
10	3.556701773
11	3.50126344
12	3.452037638
13	3.402019173
14	3.353440134
15	3.30891958
16	3.261543904
17	3.221631532
18	3.178226333
19	3.140147196
20	3.101304275
21	3.062651461
22	3.026839396
23	2.990452387
24	2.956873736
25	2.92342684
26	2.893940226
27	2.864465644
28	2.837670358
29	2.810168644
30	2.784343003
31	2.759632024
32	2.732103562
33	2.706324127
34	2.683477588
35	2.659778773
36	2.637992668
37	2.61601304
38	2.596207946
39	2.576416373
40	2.557134556
41	2.53877724
42	2.521979169
43	2.505492033
44	2.488889392
45	2.473785796
46	2.457774568
47	2.442316922
48	2.427886415
49	2.412931341
50	2.398851049
51	2.385532499
52	2.371176361
53	2.359184062
54	2.346215792
55	2.33536042
56	2.323711187
57	2.312692424
58	2.301760772
59	2.291090514
60	2.280283113
61	2.269440277
62	2.25917326
63	2.249569061
64	2.240010456
65	2.230825783
66	2.222175048
67	2.212598292
68	2.203593183
69	2.194744691
70	2.187020715
71	2.17903712
72	2.170908409
73	2.163156029
74	2.155190337
75	2.147954973
76	2.141486427
77	2.134236354
78	2.127864678
79	2.120982972
80	2.114741877
81	2.108521338
82	2.101359516
83	2.09563608
84	2.089025663
85	2.083306177
86	2.077361598
87	2.073136886
88	2.068625294
89	2.063840989
90	2.058041106
91	2.052448267
92	2.047156285
93	2.041876475
94	2.035620775
95	2.030069663
96	2.024965144
97	2.019949352
98	2.014958559
99	2.009940433
100	2.005149772
101	1.999941526
102	1.99510504
103	1.990536495
104	1.985733566
105	1.981014868
106	1.976346748
107	1.972647473
108	1.96824393
109	1.963991042
110	1.963149801
111	1.959199166
112	1.955325621
113	1.951026836
114	1.947000508
115	1.946732553
116	1.943961326
117	1.941213855
118	1.938513186
119	1.938274137
120	1.936667605
121	1.933528686
122	1.930783312
123	1.926854584
124	1.925971311
125	1.922760117
126	1.92240619
127	1.922145163
128	1.921818368
129	1.9216036
130	1.917611254
131	1.913602657
132	1.910528295
133	1.907773493
134	1.907436278
135	1.904281263
136	1.902608549
137	1.902112155
138	1.899359572
139	1.896938575
140	1.895423357
141	1.8952269
142	1.892799635
143	1.892602286
144	1.889850839
145	1.887525034
146	1.88625453
147	1.885981937
148	1.882745679
149	1.88260083
150	1.880399708
151	1.878824571
152	1.878659575
153	1.876967657
154	1.876824485
155	1.874757292
156	1.874599919
157	1.87163634
158	1.871511968
159	1.871389759
160	1.869038268
161	1.866413308
162	1.864201183
163	1.86378969
164	1.86366007
165	1.862437976
166	1.862234179
167	1.861564039
168	1.858860187
169	1.85635142
170	1.855827623
171	1.855480605
172	1.855078486
173	1.851743942
174	1.850308914
175	1.848284683
176	1.846129283
177	1.845365315
178	1.84241843
179	1.84092234
180	1.839585457
181	1.839473369
182	1.836481018
183	1.8351876
184	1.835051757
185	1.833970515
186	1.832701144
187	1.832037814
188	1.831537883
189	1.829717845
190	1.82956899
191	1.827878053
192	1.82714478
193	1.826716816
194	1.823884709
195	1.821888027
196	1.819313491
197	1.819113347
198	1.818555721
199	1.816958335
200	1.816391184
201	1.815506985
202	1.815432271
203	1.813327102
204	1.811176738
205	1.80975773
206	1.80754051
207	1.806658073
208	1.804703385
209	1.804011249
210	1.802057524
211	1.801603137
212	1.800866512
213	1.799361254
214	1.797095163
215	1.796673263
216	1.796243551
217	1.794708807
218	1.792989757
219	1.792425059
220	1.792046317
221	1.789709995
222	1.787724912
223	1.786092806
224	1.785051842
225	1.784625768
226	1.783575041
227	1.781784278
228	1.779488272
229	1.779084478
230	1.778277147
231	1.777217289
232	1.77652108
233	1.77617465
234	1.774082278
235	1.773669088
236	1.771948218
237	1.771615323
238	1.768939565
239	1.768488507
240	1.767095275
241	1.766930379
242	1.76652307
243	1.765888762
244	1.763382138
245	1.762005632
246	1.761381682
247	1.75970542
248	1.75914082
249	1.757762972
250	1.756710109
251	1.755450212
252	1.755369872
253	1.75347085
254	1.752830322
255	1.751060962
256	1.750640265
257	1.750318409
258	1.750017883
259	1.748610107
260	1.74604435
261	1.745120479
262	1.744830714
263	1.744035071
264	1.742181119
265	1.741330411
266	1.740944442
267	1.739251222
268	1.738135777
269	1.735946939
270	1.73417494
271	1.732461011
272	1.731133526
273	1.729832345
274	1.729488295
275	1.728747633
276	1.728469924
277	1.728232866
278	1.726517627
279	1.72567932
280	1.724321986
281	1.723945699
282	1.722820728
283	1.721547371
284	1.720167237
285	1.718793609
286	1.718536142
287	1.71608112
288	1.715461423
289	1.715170671
290	1.714831037
291	1.714235063
292	1.712506926
293	1.710645725
294	1.710244289
295	1.709105
296	1.708116526
297	1.707410896
298	1.707243116
299	1.706494556
300	1.704688315
301	1.704424994
302	1.703774274
303	1.703683313
304	1.702159012
305	1.701781888
306	1.700310417
307	1.700179794
308	1.699735137
309	1.699445149
310	1.698925841
311	1.698595014
312	1.69833404
313	1.696927732
314	1.696281435
315	1.695916744
316	1.695188147
317	1.694927428
318	1.694517943
319	1.694266028
320	1.693927887
321	1.691952976
322	1.691771275
323	1.691597694
324	1.689212461
325	1.686432978
326	1.686191519
327	1.685947643
328	1.683922851
329	1.683447407
330	1.682388075
331	1.6809339
332	1.680596608
333	1.679271135
334	1.679045658
335	1.678823262
336	1.678558948
337	1.677022636
338	1.676856055
339	1.675271118
340	1.674530994
341	1.673351625
342	1.671970636
343	1.670880538
344	1.669738792
345	1.669514877
346	1.668425178
347	1.667712668
348	1.664876741
349	1.663656283
350	1.663402941
351	1.663230955
352	1.661727588
353	1.660158546
354	1.659376291
355	1.658893463
356	1.658301074
357	1.657088818
358	1.656276457
359	1.654917955
360	1.654412806
361	1.654157264
362	1.65351724
363	1.652534326
364	1.650096862
365	1.649245453
366	1.648233621
367	1.648090782
368	1.647115427
369	1.645844202
370	1.644787449
371	1.644585834
372	1.643681718
373	1.643452599
374	1.642754491
375	1.642543324
376	1.641892941
377	1.640521381
378	1.640341473
379	1.639440315
380	1.638636019
381	1.63845289
382	1.637671927
383	1.637061412
384	1.63688852
385	1.635442733
386	1.634952712
387	1.633615874
388	1.63234438
389	1.632294406
390	1.631724719
391	1.631536251
392	1.631462555
393	1.63083527
394	1.630635626
395	1.6297395
396	1.629020966
397	1.627924013
398	1.627129015
399	1.627043868
400	1.626872126
401	1.626713083
402	1.625818322
403	1.624869151
404	1.623714183
405	1.623382642
406	1.622465864
407	1.621008534
408	1.620614705
409	1.620263988
410	1.619048776
411	1.618763513
412	1.618049327
413	1.616739235
414	1.615697306
415	1.61508409
416	1.614901624
417	1.614035205
418	1.612802821
419	1.612383796
420	1.611596152
421	1.611284689
422	1.611048034
423	1.610930759
424	1.609683082
425	1.608936417
426	1.608072999
427	1.607759171
428	1.60714313
429	1.607025893
430	1.605977189
431	1.605849505
432	1.604885091
433	1.604216243
434	1.603622475
435	1.60329216
436	1.602699287
437	1.602548905
438	1.602481216
439	1.602425438
440	1.601417273
441	1.600843415
442	1.599108482
443	1.59748029
444	1.596759288
445	1.595518627
446	1.594713245
447	1.594569803
448	1.594020605
449	1.59282883
450	1.591500363
451	1.59135517
452	1.590821496
453	1.590574176
454	1.590505916
455	1.589964806
456	1.589533997
457	1.589041194
458	1.587643534
459	1.587506873
460	1.586547581
461	1.586030744
462	1.585897048
463	1.585063076
464	1.584150541
465	1.583618078
466	1.583485927
467	1.583362254
468	1.581565164
469	1.58148218
470	1.580116347
471	1.578810982
472	1.578068927
473	1.578017122
474	1.577695729
475	1.576319763
476	1.576217436
477	1.575933757
478	1.575806406
479	1.5757658
